gene	non-smoker	smoker	log2_fold_change	p_value	Regulation	Significance
ilmn_1698220_phtf2	911.0996774193549	952.8883333333333	0.06469825968573305	0.4203155260106406	Upregulated	Not significant
ilmn_1784717_rps19	260.33112903225805	268.60833333333335	0.04515623181320906	0.6337278108407435	Upregulated	Not significant
ilmn_1761911_scyl1bp1	160.43967741935484	153.54583333333332	-0.06336160714830931	0.31652863585373303	Downregulated	Not significant
ilmn_1706784_h2afv	260.3272580645161	268.6016666666667	0.04514187687948542	0.633826265083633	Upregulated	Not significant
ilmn_1815346_tmem136	137.89322580645162	176.57083333333333	0.35669546838646193	0.1344543441676615	Upregulated	Not significant
ilmn_1764927_cdc42ep1	75.37258064516129	74.96916666666667	-0.007742423557698938	0.9013960928821644	Downregulated	Not significant
ilmn_1776347_tcp1	3453.315483870968	3287.0416666666665	-0.07119239603032601	0.24841617314457393	Downregulated	Not significant
ilmn_1660661_tcp1	260.3256451612903	308.97333333333336	0.24716488702813383	0.3636024624801302	Upregulated	Not significant
ilmn_1692844_tbc1d19	1970.9640322580644	1919.6433333333334	-0.03806316374882016	0.6843132829320151	Downregulated	Not significant
ilmn_1769158_isoc2	143.21967741935484	138.11583333333334	-0.0523510059453156	0.3372935084617129	Downregulated	Not significant
ilmn_1685237_flj20718	911.1048387096774	952.8883333333333	0.06469008698295774	0.42037184779771286	Upregulated	Not significant
ilmn_1714905_loc644563	101.35161290322581	104.31333333333333	0.04155452702046573	0.517517801190625	Upregulated	Not significant
ilmn_1797082_snx13	1970.9679032258064	1919.6433333333334	-0.03806599719498625	0.684290706400607	Downregulated	Not significant
ilmn_1684031_myo1a	276.4727419354839	284.7158333333333	0.042385476082525214	0.4459882747807483	Upregulated	Not significant
ilmn_1693210_nsmce2	154.0509677419355	156.185	0.01984815841206352	0.7544390461578279	Upregulated	Not significant
ilmn_1651800_gstm4	260.32774193548386	308.97333333333336	0.24715326699144186	0.3636228264551129	Upregulated	Not significant
ilmn_1775074_tubgcp2	160.44887096774193	153.54583333333332	-0.06344427439671387	0.31590011374119376	Downregulated	Not significant
ilmn_1652082_elf4	73.55951612903226	72.975	-0.011509684074760884	0.833983401200155	Downregulated	Not significant
ilmn_1768721_dppa4	212.16887096774192	207.74416666666667	-0.030405034636220966	0.6269054656380197	Downregulated	Not significant
ilmn_1720235_adssl1	106.70112903225807	102.48083333333334	-0.058221329511116054	0.2907191757395574	Downregulated	Not significant
ilmn_1809344_btbd10	276.47145161290325	284.7158333333333	0.042392209282764604	0.4459166633557736	Upregulated	Not significant
ilmn_1762281_dctn3	260.33774193548385	268.6191666666667	0.045177769742232796	0.6335815787913808	Upregulated	Not significant
ilmn_1734742_arhgdia	1993.086935483871	2006.2908333333335	0.00952611544113958	0.827062782018327	Upregulated	Not significant
ilmn_1815581_slc22a18	3453.307258064516	3287.0416666666665	-0.07118895952289875	0.24843565523026645	Downregulated	Not significant
ilmn_1699459_nek1	911.0977419354839	952.8883333333333	0.06470132446120985	0.420294406851747	Upregulated	Not significant
ilmn_1790819_loc728778	75.37241935483871	75.03916666666666	-0.006392895654020993	0.9183489438352739	Downregulated	Not significant
ilmn_1766125_lonp1	212.18629032258065	207.7425	-0.030535051351405218	0.6253965330365187	Downregulated	Not significant
ilmn_1685369_slu7	439.58935483870965	489.7325	0.15583749025516933	0.04275550229611532	Upregulated	Significant
ilmn_1653709_timm9	101.34306451612903	104.315	0.04169926511412554	0.5160658726516827	Upregulated	Not significant
ilmn_1678730_nomo1	78.11887096774194	72.03916666666666	-0.11688960590949174	0.10114870834439035	Downregulated	Not significant
ilmn_1770803_bnip2	91.24064516129032	106.23833333333333	0.21955586590472007	0.08293816643985928	Upregulated	Not significant
